ref_hash,obj
1000169251625791246_sc,59292.35600000001
1000169251625791246_st,24562.221902499998
1000395625957344683_sc,21566.928000000004
1000395625957344683_st,19237.313268425005
1003027494996471685_sc,74244.476
1003027494996471685_st,2638.9639533508785
1006670001679961544_sc,4844.138
1006670001679961544_st,79260.038192
1007573308966476713_sc,54329.984000000004
1007573308966476713_st,54516.77143136363
1010070503877148763_sc,134321.51200000002
1010070503877148763_st,81094.4378168
1010265377387765028_sc,181886.269
1010265377387765028_st,2408.6617318225804
1010531372912327058_sc,145179.79400000002
1010531372912327058_st,28105.28977562963
1011610998357271358_sc,5657.6320000000005
1011610998357271358_st,4229.2489265
1013543838965040946_sc,157050.41
1013543838965040946_st,4807.326023706423
1014428234021750342_sc,42333.98
1014428234021750342_st,15718.586932227272
101763096421653092_sc,11097.856000000002
101763096421653092_st,166588.5970915
1017668882534236751_sc,96979.122
1017668882534236751_st,22561.5197292
1017958004932387739_sc,21875.314000000002
1017958004932387739_st,18469.998859586205
1018126962792619181_sc,149117.014
1018126962792619181_st,21254.4125675
1021582875881379650_sc,98067.318
1021582875881379650_st,49219.857881
1022093956983448460_sc,170440.35
1022093956983448460_st,20527.6023776
1022155574388897311_sc,51097.132000000005
1022155574388897311_st,4873.393422970592
1024792555410741306_sc,16479.846
1024792555410741306_st,67868.0820095
1026825193119998092_sc,59778.87
1026825193119998092_st,39128.5418202
1030603044158081433_sc,9020.934000000001
1030603044158081433_st,3502.6511111959458
1030865855693267844_sc,140238.494
1030865855693267844_st,35360.044266000004
1032938399279723623_sc,157918.252
1032938399279723623_st,4712.349839217951
1036919443887988520_sc,7737.894
1036919443887988520_st,113149.76372683335
1037575899869926_sc,32527.668
1037575899869926_st,5844.227093687498
1042912100594917197_sc,5347.698
1042912100594917197_st,35698.22512431579
104412862089502190_sc,133444.83000000002
104412862089502190_st,21883.17089069231
1048460865075142817_sc,86019.15200000002
1048460865075142817_st,28690.441458
1048487908287530052_sc,88814.504
1048487908287530052_st,5147.3373132409615
1048782984015604883_sc,161219.312
1048782984015604883_st,4112.357389750001
1052346027668414186_sc,134820.144
1052346027668414186_st,38391.76899881249
1052782935269141271_sc,156426.394
1052782935269141271_st,4314.863306378379
105337483767914646_sc,104715.054
105337483767914646_st,6061.54279192683
1053399148291039201_sc,34897.976
1053399148291039201_st,36726.95841628572
1054881396892383323_sc,90641.25
1054881396892383323_st,5192.691896540538
1055760083915480820_sc,4470.13
1055760083915480820_st,13759.722111181818
1056749944537419493_sc,234168.56466666667
1056749944537419493_st,409.60676206557406
1058525390691423513_sc,130924.38600000001
1058525390691423513_st,1596.398442773194
1062274422372114651_sc,77998.095
1062274422372114651_st,13951.466337459458
1069066119870904979_sc,44137.126000000004
1069066119870904979_st,15588.292984
1070673984959261173_sc,36242.87150000001
1070673984959261173_st,28081.52494190909
1071701264087131067_sc,27582.218
1071701264087131067_st,2670.38250713063
1076086792264173440_sc,167987.88
1076086792264173440_st,3077.2447573293184
1078063581723896055_sc,150994.32400000002
1078063581723896055_st,26820.774382333337
1078643268919016184_sc,137977.344
1078643268919016184_st,269.3851345294118
1080074517463091765_sc,138961.606
1080074517463091765_st,12690.837933183335
108091152851614035_sc,6331.0160000000005
108091152851614035_st,5096.060313029411
1082062519835461489_sc,31728.576
1082062519835461489_st,8480.788919164832
1083324672128707147_sc,107545.86200000001
1083324672128707147_st,7873.48984747222
1084673948755476350_sc,155719.67200000002
1084673948755476350_st,36550.94044547619
108675559753870541_sc,47660.962
108675559753870541_st,5377.667936894311
1090348823218637154_sc,73543.891
1090348823218637154_st,212304.40538850002
1091213713572176533_sc,74475.24200000001
1091213713572176533_st,19308.98886566667
1092578651697005865_sc,166051.96800000002
1092578651697005865_st,75869.131144
109389620877102250_sc,138876.81600000002
109389620877102250_st,867.4264062811438
1095130837096278807_sc,5476.366
1095130837096278807_st,3897.991379068965
1097690588650818183_sc,79650.745
1097690588650818183_st,8823.987612425
1098333517628887771_sc,32142.640000000003
1098333517628887771_st,36946.80435400001
1098698655660153317_sc,33771.466
1098698655660153317_st,3060.871908645667
1100694657931150169_sc,105630.40000000001
1100694657931150169_st,110276.22941000001
1102680423242413676_sc,46839.708000000006
1102680423242413676_st,513.336887322408
1106971792117053344_sc,43896.49
1106971792117053344_st,8332.320642
1108571703275362862_sc,181386.999
1108571703275362862_st,28616.30989357692
1109716870153151001_sc,25686.834000000003
1109716870153151001_st,18732.94980966667
1110652558277138855_sc,131600.64200000002
1110652558277138855_st,8772.517513807694
1111065470587874091_sc,153938.782
1111065470587874091_st,44589.61077442858
111177788438165194_sc,20463.796000000002
111177788438165194_st,27794.883709148147
1113913537041480485_sc,61430.628000000004
1113913537041480485_st,2306.0207761111105
1114026657194419748_sc,84810.62000000001
1114026657194419748_st,8051.918699189474
1114323564105303141_sc,141343.888
1114323564105303141_st,7839.541321585859
1114508230319864946_sc,67382.46800000001
1114508230319864946_st,7060.693702505151
1115138041376043539_sc,123586.50200000001
1115138041376043539_st,2562.046655411538
1117590669569321964_sc,30677.272
1117590669569321964_st,47835.227996466674
1117811498061299916_sc,122053.808
1117811498061299916_st,8614.772876986111
1118296407046663101_sc,103534.346
1118296407046663101_st,1625.8224413230769
1119031235556320896_sc,50269.89866666667
1119031235556320896_st,1372.47599016442
11222455493472018_sc,31760.636000000002
11222455493472018_st,16921.63899
1123499146680162742_sc,28398.884000000002
1123499146680162742_st,36088.951545222226
1126070781577415060_sc,14281.347000000002
1126070781577415060_st,21584.325031718752
1126877271043713659_sc,146777.866
1126877271043713659_st,48814.33250144445
1128648311587971120_sc,43623.56800000001
1128648311587971120_st,89371.556681
1128814228344083814_sc,9454.101
1128814228344083814_st,9016.30993763158
1129766292147277557_sc,3266.547
1129766292147277557_st,2289.520753018799
1131546864431701911_sc,15910.218
1131546864431701911_st,10813.421015126762
1136031752303953778_sc,163832.252
1136031752303953778_st,22453.462660625002
1136471390576544145_sc,55908.382000000005
1136471390576544145_st,18921.560232166667
1137626983589975828_sc,76379.974
1137626983589975828_st,50069.15361869231
1145009605155104884_sc,155953.654
1145009605155104884_st,2580.12598985034
1149958127364605785_sc,22728.670000000002
1149958127364605785_st,9334.241303222221
1151346651469575337_sc,159295.152
1151346651469575337_st,41306.4275715
1153540947733791830_sc,160994.472
1153540947733791830_st,58247.429907000005
1156275031468463136_sc,2942.224
1156275031468463136_st,19682.2834447619
1156694545460335017_sc,128473.86600000001
1156694545460335017_st,5622.778543007246
115885348859837276_sc,93060.486
115885348859837276_st,6579.8031219803925
1159207938497285892_sc,113173.13600000001
1159207938497285892_st,545.2573184
1160971248791325717_sc,151356.84
1160971248791325717_st,29388.06784623077
1161843904632575594_sc,22367.93
1161843904632575594_st,26779.2695232
1167633864786053186_sc,17671.792
1167633864786053186_st,15278.687215846152
1168157541031578455_sc,29360.098
1168157541031578455_st,21996.647805588233
1170926351229275807_sc,53223.296
1170926351229275807_st,4323.046967
1175385689997483703_sc,159150.67
1175385689997483703_st,89244.57692366668
1175791667336060650_sc,148986.818
1175791667336060650_st,2285.892350750001
1176502947759067386_sc,96319.29000000001
1176502947759067386_st,7458.950419000001
1176818370378839086_sc,104087.672
1176818370378839086_st,10883.408972888883
1179211379479512284_sc,148353.538
1179211379479512284_st,30332.2801731579
1186516249413150404_sc,133268.052
1186516249413150404_st,5073.1041377500005
1187615102176685882_sc,126476.73400000001
1187615102176685882_st,22878.7016946
1187995611677437206_sc,105931.778
1187995611677437206_st,7685.608506939999
1190424870217036395_sc,135236.062
1190424870217036395_st,9550.398279352945
1191960282997642823_sc,61385.526000000005
1191960282997642823_st,425.4387856666667
1194162776830151855_sc,40534.380000000005
1194162776830151855_st,2674.0287318118453
1199641757841499367_sc,159638.18800000002
1199641757841499367_st,6322.997682050506
1200899806989014770_sc,119130.54800000001
1200899806989014770_st,25070.694698000003
1204574205636847942_sc,159578.706
1204574205636847942_st,1013.0573274821664
1205014055416064598_sc,57161.170000000006
1205014055416064598_st,818.0738668083513
1206234638304930993_sc,135657.568
1206234638304930993_st,69195.489314
1207737003178589247_sc,136922.526
1207737003178589247_st,30136.680150500004
1209201922567589129_sc,91192.57
1209201922567589129_st,15005.880938875003
1209266135065312559_sc,167265.5344
1209266135065312559_st,3531.5226429023282
1209684448831341752_sc,170128.67
1209684448831341752_st,4482.20451008955
1216484723925399897_sc,20816.616
1216484723925399897_st,3200.32561575
1216551715294982491_sc,151116.84
1216551715294982491_st,12832.711108000001
122031620643150233_sc,22157.852000000003
122031620643150233_st,27187.749376380954
1225293060838887434_sc,51179.806000000004
1225293060838887434_st,11227.311577533339
1227457012435462438_sc,20907.786
1227457012435462438_st,59251.7044445
1229609562842818924_sc,4023.0600000000004
1229609562842818924_st,86777.0360085
1231413972006880331_sc,38082.212
1231413972006880331_st,73310.29402900001
1232605060713570544_sc,130836.64400000001
1232605060713570544_st,4992.698518657895
1233658583417535945_sc,12725.08
1233658583417535945_st,3822.6485277222228
1234527712464722201_sc,119058.02
1234527712464722201_st,1652.8594583333334
1236618452781354742_sc,11054.033333333333
1236618452781354742_st,24762.9891515
123979484119113285_sc,101340.82400000001
123979484119113285_st,310.83157463858066
1248297595627780685_sc,105704.74
1248297595627780685_st,15100.912407641024
125102898244387791_sc,50352.17600000001
125102898244387791_st,9392.438727111112
1251678112439909237_sc,139488.608
1251678112439909237_st,3274.103422333333
1251711610192393941_sc,172384.836
1251711610192393941_st,1762.5700953690198
1252375118134913744_sc,38183.624
1252375118134913744_st,3038.41294304348
1253893505327217043_sc,131636.416
1253893505327217043_st,20472.524791066662
1257211796115020351_sc,11504.106000000002
1257211796115020351_st,49979.04399500001
1260244248473048882_sc,163620.31733333334
1260244248473048882_st,24369.518788821435
1264022936299507076_sc,159568.342
1264022936299507076_st,21343.318125666665
1265362887592424102_sc,152190.052
1265362887592424102_st,1074.9121057343177
126760379585103536_sc,93085.778
126760379585103536_st,37795.29350235714
1268668663105484535_sc,154546.046
1268668663105484535_st,96558.51280675
1268988768599406958_sc,162690.204
1268988768599406958_st,89653.57334275002
1269617022810318893_sc,391.01000000000005
1269617022810318893_st,1607.307325273684
12710129175666777_sc,439954.875
12710129175666777_st,62091.25934541667
127181479361225903_sc,142381.774
127181479361225903_st,1640.930153777778
1280782500667332514_sc,20061.299000000003
1280782500667332514_st,10149.725552157895
1281391375697256626_sc,55443.26
1281391375697256626_st,4376.820806477275
1281554246271544540_sc,26125.428
1281554246271544540_st,56158.897582000005
1283079572748604544_sc,32877.186
1283079572748604544_st,19764.21044294872
1284329121151747079_sc,131865.788
1284329121151747079_st,454.27054815151496
1286394024293955508_sc,129623.87000000001
1286394024293955508_st,49264.217015416674
12880076216702587_sc,2615.152
12880076216702587_st,2718.7791666643325
